,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_EMPLOYED,CNT_FAM_MEMBERS
29,1.0,0.0,1.0,0.0,0.42105263157894735,0.0,0.25,0.25,0.2,0.8607061424721896,0.0
30,1.0,0.0,1.0,0.0,0.42105263157894735,0.0,0.25,0.25,0.2,0.8607061424721896,0.0
31,1.0,0.0,1.0,0.0,0.42105263157894735,0.0,0.25,0.25,0.2,0.8607061424721896,0.0
32,1.0,0.0,1.0,0.0,0.42105263157894735,0.0,0.25,0.25,0.2,0.8607061424721896,0.0
33,1.0,0.0,1.0,0.0,0.42105263157894735,0.0,0.25,0.25,0.2,0.8607061424721896,0.0
34,1.0,0.0,1.0,0.0,0.42105263157894735,0.0,0.25,0.25,0.2,0.8607061424721896,0.0
46,0.0,1.0,1.0,0.5,0.10526315789473684,1.0,1.0,0.25,0.2,0.7807641815794929,1.0
47,0.0,1.0,1.0,0.5,0.10526315789473684,1.0,1.0,0.25,0.2,0.7807641815794929,1.0
48,0.0,1.0,1.0,0.5,0.10526315789473684,1.0,1.0,0.25,0.2,0.7807641815794929,1.0
49,0.0,1.0,1.0,0.5,0.10526315789473684,1.0,1.0,0.25,0.2,0.7807641815794929,1.0
50,0.0,1.0,1.0,0.5,0.10526315789473684,1.0,1.0,0.25,0.2,0.7807641815794929,1.0
51,0.0,1.0,1.0,0.5,0.10526315789473684,1.0,1.0,0.25,0.2,0.7807641815794929,1.0
52,0.0,1.0,1.0,0.5,0.10526315789473684,1.0,1.0,0.25,0.2,0.7807641815794929,1.0
53,0.0,1.0,1.0,0.5,0.10526315789473684,1.0,1.0,0.25,0.2,0.7807641815794929,1.0
54,0.0,1.0,1.0,0.5,0.10526315789473684,1.0,1.0,0.25,0.2,0.7807641815794929,1.0
55,0.0,1.0,1.0,0.5,0.10526315789473684,1.0,1.0,0.25,0.2,0.7807641815794929,1.0
56,0.0,1.0,1.0,0.5,0.10526315789473684,1.0,1.0,0.25,0.2,0.7807641815794929,1.0
57,0.0,1.0,1.0,0.5,0.10526315789473684,1.0,1.0,0.25,0.2,0.7807641815794929,1.0
58,0.0,1.0,1.0,0.5,0.10526315789473684,1.0,1.0,0.25,0.2,0.7807641815794929,1.0
59,0.0,1.0,1.0,0.5,0.10526315789473684,1.0,1.0,0.25,0.2,0.7807641815794929,1.0
60,0.0,1.0,1.0,0.5,0.10526315789473684,1.0,1.0,0.25,0.2,0.7807641815794929,1.0
62,0.0,0.0,1.0,0.0,0.19473684210526315,0.5,1.0,0.0,0.2,0.5095004491121399,0.0
63,0.0,0.0,1.0,0.0,0.19473684210526315,0.5,1.0,0.0,0.2,0.5095004491121399,0.0
66,0.0,0.0,1.0,0.5,0.09473684210526316,0.0,0.25,0.25,0.2,0.8774960270849167,1.0
67,0.0,0.0,1.0,0.5,0.09473684210526316,0.0,0.25,0.25,0.2,0.8774960270849167,1.0
68,0.0,0.0,1.0,0.5,0.09473684210526316,0.0,0.25,0.25,0.2,0.8774960270849167,1.0
69,0.0,0.0,1.0,0.5,0.09473684210526316,0.0,0.25,0.25,0.2,0.8774960270849167,1.0
70,0.0,0.0,1.0,0.5,0.09473684210526316,0.0,0.25,0.25,0.2,0.8774960270849167,1.0
71,0.0,0.0,1.0,0.5,0.09473684210526316,0.0,0.25,0.25,0.2,0.8774960270849167,1.0
72,0.0,0.0,1.0,0.5,0.09473684210526316,0.0,0.25,0.25,0.2,0.8774960270849167,1.0
73,0.0,0.0,1.0,0.5,0.09473684210526316,0.0,0.25,0.25,0.2,0.8774960270849167,1.0
74,0.0,0.0,1.0,0.5,0.09473684210526316,0.0,0.25,0.25,0.2,0.8774960270849167,1.0
75,0.0,0.0,1.0,0.5,0.09473684210526316,0.0,0.25,0.25,0.2,0.8774960270849167,1.0
144,1.0,0.0,1.0,0.0,0.21052631578947367,1.0,1.0,0.25,0.2,0.8059835555862641,0.0
145,1.0,0.0,1.0,0.0,0.21052631578947367,1.0,1.0,0.25,0.2,0.8059835555862641,0.0
146,1.0,0.0,1.0,0.0,0.21052631578947367,1.0,1.0,0.25,0.2,0.8059835555862641,0.0
147,1.0,0.0,1.0,0.0,0.21052631578947367,1.0,1.0,0.25,0.2,0.8059835555862641,0.0
199,0.0,0.0,1.0,0.5,0.2,0.5,0.25,0.25,0.2,0.7849789262765149,1.0
200,0.0,0.0,1.0,0.5,0.2,0.5,0.25,0.25,0.2,0.7849789262765149,1.0
201,0.0,0.0,1.0,0.5,0.2,0.5,0.25,0.25,0.2,0.7849789262765149,1.0
202,0.0,0.0,1.0,0.5,0.2,0.5,0.25,0.25,0.2,0.7849789262765149,1.0
203,0.0,0.0,1.0,0.5,0.2,0.5,0.25,0.25,0.2,0.7849789262765149,1.0
204,0.0,0.0,1.0,0.5,0.2,0.5,0.25,0.25,0.2,0.7849789262765149,1.0
205,0.0,0.0,1.0,0.5,0.2,0.5,0.25,0.25,0.2,0.7849789262765149,1.0
206,0.0,0.0,1.0,0.5,0.2,0.5,0.25,0.25,0.2,0.7849789262765149,1.0
222,0.0,0.0,1.0,0.5,0.13157894736842105,1.0,1.0,0.75,0.2,0.9616527326746356,0.0
223,0.0,0.0,1.0,0.5,0.13157894736842105,1.0,1.0,0.75,0.2,0.9616527326746356,0.0
231,0.0,0.0,1.0,0.5,0.18421052631578946,1.0,0.25,0.25,0.2,0.8418434325986319,1.0
232,0.0,0.0,1.0,0.5,0.18421052631578946,1.0,0.25,0.25,0.2,0.8418434325986319,1.0
233,0.0,0.0,1.0,0.5,0.18421052631578946,1.0,0.25,0.25,0.2,0.8418434325986319,1.0
234,0.0,0.0,1.0,0.5,0.18421052631578946,1.0,0.25,0.25,0.2,0.8418434325986319,1.0
235,0.0,0.0,1.0,0.5,0.18421052631578946,1.0,0.25,0.25,0.2,0.8418434325986319,1.0
252,0.0,1.0,1.0,0.0,0.47368421052631576,0.5,0.25,0.25,0.2,0.9510813238443999,0.0
253,0.0,1.0,1.0,0.0,0.47368421052631576,0.5,0.25,0.25,0.2,0.9510813238443999,0.0
254,1.0,0.0,1.0,0.0,0.15789473684210525,1.0,1.0,0.25,1.0,0.9111448904857321,0.0
262,1.0,1.0,0.0,0.5,0.18421052631578946,0.0,0.25,0.25,0.2,0.79347750984592,1.0
263,1.0,1.0,0.0,0.5,0.18421052631578946,0.0,0.25,0.25,0.2,0.79347750984592,1.0
267,1.0,1.0,1.0,0.0,0.8421052631578947,1.0,0.25,0.25,0.2,0.9175015546189457,0.0
268,1.0,1.0,1.0,0.0,0.8421052631578947,1.0,0.25,0.25,0.2,0.9175015546189457,0.0
269,1.0,1.0,1.0,0.0,0.8421052631578947,1.0,0.25,0.25,0.2,0.9175015546189457,0.0
271,0.0,0.0,1.0,0.0,0.2631578947368421,0.0,1.0,0.25,0.2,0.696607475989774,0.0
272,0.0,0.0,1.0,0.0,0.2631578947368421,0.0,1.0,0.25,0.2,0.696607475989774,0.0
273,0.0,0.0,1.0,0.0,0.2631578947368421,0.0,1.0,0.25,0.2,0.696607475989774,0.0
276,1.0,1.0,1.0,0.5,0.13157894736842105,1.0,1.0,0.25,1.0,0.7197540247357148,1.0
277,1.0,1.0,1.0,0.5,0.13157894736842105,1.0,1.0,0.25,1.0,0.7197540247357148,1.0
278,1.0,1.0,1.0,0.5,0.13157894736842105,1.0,1.0,0.25,1.0,0.7197540247357148,1.0
279,1.0,1.0,1.0,0.5,0.13157894736842105,1.0,1.0,0.25,1.0,0.7197540247357148,1.0
280,1.0,1.0,1.0,0.5,0.13157894736842105,1.0,1.0,0.25,1.0,0.7197540247357148,1.0
399,1.0,1.0,0.0,0.0,0.10526315789473684,1.0,1.0,0.25,0.2,0.9363642644925033,0.0
400,1.0,1.0,0.0,0.0,0.10526315789473684,1.0,1.0,0.25,0.2,0.9363642644925033,0.0
401,1.0,1.0,0.0,0.0,0.10526315789473684,1.0,1.0,0.25,0.2,0.9363642644925033,0.0
402,1.0,1.0,0.0,0.0,0.10526315789473684,1.0,1.0,0.25,0.2,0.9363642644925033,0.0
403,1.0,1.0,0.0,0.0,0.10526315789473684,1.0,1.0,0.25,0.2,0.9363642644925033,0.0
509,0.0,0.0,0.0,0.5,0.21052631578947367,1.0,0.25,0.25,0.2,0.8794997581703863,1.0
512,1.0,1.0,0.0,0.0,0.10526315789473684,1.0,1.0,0.25,0.2,0.9174324604435846,0.0
513,1.0,1.0,0.0,0.0,0.10526315789473684,1.0,1.0,0.25,0.2,0.9174324604435846,0.0
514,1.0,1.0,0.0,0.0,0.10526315789473684,1.0,1.0,0.25,0.2,0.9174324604435846,0.0
515,1.0,1.0,0.0,0.0,0.10526315789473684,1.0,1.0,0.25,0.2,0.9174324604435846,0.0
529,0.0,0.0,0.0,0.0,0.03684210526315789,1.0,0.25,0.0,0.2,0.9657983831962965,0.0
530,0.0,0.0,0.0,0.0,0.03684210526315789,1.0,0.25,0.0,0.2,0.9657983831962965,0.0
531,0.0,0.0,0.0,0.0,0.03684210526315789,1.0,0.25,0.0,0.2,0.9657983831962965,0.0
532,0.0,0.0,0.0,0.0,0.03684210526315789,1.0,0.25,0.0,0.2,0.9657983831962965,0.0
533,0.0,0.0,0.0,0.0,0.03684210526315789,1.0,0.25,0.0,0.2,0.9657983831962965,0.0
534,0.0,0.0,0.0,0.0,0.03684210526315789,1.0,0.25,0.0,0.2,0.9657983831962965,0.0
537,0.0,0.0,0.0,0.5,0.02631578947368421,0.0,0.25,0.25,0.2,0.9700822220686796,1.0
608,0.0,0.0,0.0,0.5,0.10526315789473684,1.0,1.0,0.25,0.2,0.8016997167138811,1.0
609,0.0,0.0,0.0,0.5,0.10526315789473684,1.0,1.0,0.25,0.2,0.8016997167138811,1.0
610,0.0,0.0,0.0,0.5,0.10526315789473684,1.0,1.0,0.25,0.2,0.8016997167138811,1.0
637,1.0,1.0,0.0,0.5,0.15789473684210525,1.0,0.5,0.25,0.2,0.850065639466593,1.0
638,1.0,1.0,0.0,0.5,0.15789473684210525,1.0,0.5,0.25,0.2,0.850065639466593,1.0
639,1.0,1.0,0.0,0.5,0.15789473684210525,1.0,0.5,0.25,0.2,0.850065639466593,1.0
711,0.0,0.0,0.0,0.0,0.07894736842105263,1.0,1.0,0.25,0.2,0.7429696676570166,0.0
712,0.0,0.0,0.0,0.0,0.07894736842105263,1.0,1.0,0.25,0.2,0.7429696676570166,0.0
713,0.0,0.0,0.0,0.0,0.07894736842105263,1.0,1.0,0.25,0.2,0.7429696676570166,0.0
714,0.0,0.0,0.0,0.5,0.11578947368421053,1.0,1.0,0.25,0.2,0.9321495197954812,1.0
715,0.0,0.0,0.0,0.5,0.11578947368421053,1.0,1.0,0.25,0.2,0.9321495197954812,1.0
716,0.0,0.0,0.0,0.5,0.11578947368421053,1.0,1.0,0.25,0.2,0.9321495197954812,1.0
717,0.0,0.0,0.0,0.5,0.11578947368421053,1.0,1.0,0.25,0.2,0.9321495197954812,1.0
718,0.0,0.0,0.0,0.5,0.11578947368421053,1.0,1.0,0.25,0.2,0.9321495197954812,1.0
719,0.0,0.0,0.0,0.5,0.11578947368421053,1.0,1.0,0.25,0.2,0.9321495197954812,1.0
720,0.0,0.0,0.0,0.5,0.11578947368421053,1.0,1.0,0.25,0.2,0.9321495197954812,1.0
721,0.0,0.0,0.0,0.5,0.11578947368421053,1.0,1.0,0.25,0.2,0.9321495197954812,1.0
739,1.0,1.0,0.0,0.0,0.11578947368421053,1.0,0.5,0.25,0.2,0.9804463483728322,0.0
740,1.0,1.0,0.0,0.0,0.11578947368421053,1.0,0.5,0.25,0.2,0.9804463483728322,0.0
863,1.0,1.0,0.0,0.5,0.46842105263157896,0.5,0.25,0.25,0.4,0.5283631589856975,1.0
864,1.0,1.0,0.0,0.5,0.46842105263157896,0.5,0.25,0.25,0.4,0.5283631589856975,1.0
883,0.0,0.0,0.0,0.0,0.18421052631578946,1.0,1.0,0.25,0.2,0.7743384232709183,0.0
884,0.0,0.0,0.0,0.0,0.18421052631578946,1.0,1.0,0.25,0.2,0.7743384232709183,0.0
885,0.0,0.0,0.0,0.0,0.18421052631578946,1.0,1.0,0.25,0.2,0.7743384232709183,0.0
886,0.0,0.0,0.0,0.0,0.18421052631578946,1.0,1.0,0.25,0.2,0.7743384232709183,0.0
887,0.0,0.0,0.0,0.0,0.18421052631578946,1.0,1.0,0.25,0.2,0.7743384232709183,0.0
888,0.0,0.0,0.0,0.0,0.18421052631578946,1.0,1.0,0.25,0.2,0.7743384232709183,0.0
889,0.0,0.0,0.0,0.0,0.18421052631578946,1.0,1.0,0.25,0.2,0.7743384232709183,0.0
890,0.0,0.0,0.0,0.0,0.18421052631578946,1.0,1.0,0.25,0.2,0.7743384232709183,0.0
891,0.0,0.0,0.0,0.0,0.18421052631578946,1.0,1.0,0.25,0.2,0.7743384232709183,0.0
892,0.0,0.0,0.0,0.0,0.18421052631578946,1.0,1.0,0.25,0.2,0.7743384232709183,0.0
893,0.0,0.0,0.0,0.0,0.18421052631578946,1.0,1.0,0.25,0.2,0.7743384232709183,0.0
894,0.0,0.0,0.0,0.0,0.18421052631578946,1.0,1.0,0.25,0.2,0.7743384232709183,0.0
895,0.0,0.0,0.0,0.0,0.18421052631578946,1.0,1.0,0.25,0.2,0.7743384232709183,0.0
896,0.0,0.0,0.0,0.0,0.18421052631578946,1.0,1.0,0.25,0.2,0.7743384232709183,0.0
943,1.0,1.0,0.0,0.5,0.4473684210526316,0.0,0.25,0.25,0.2,0.5577972776894907,1.0
944,1.0,1.0,0.0,0.5,0.4473684210526316,0.0,0.25,0.25,0.2,0.5577972776894907,1.0
945,1.0,1.0,0.0,0.5,0.4473684210526316,0.0,0.25,0.25,0.2,0.5577972776894907,1.0
946,1.0,1.0,0.0,0.5,0.4473684210526316,0.0,0.25,0.25,0.2,0.5577972776894907,1.0
948,0.0,0.0,1.0,0.5,0.13157894736842105,0.5,0.25,0.25,0.2,0.911075796310371,1.0
949,0.0,0.0,1.0,0.5,0.13157894736842105,0.5,0.25,0.25,0.2,0.911075796310371,1.0
950,0.0,0.0,1.0,0.5,0.11578947368421053,1.0,1.0,0.25,0.4,0.8732121882125337,1.0
964,0.0,1.0,0.0,0.0,0.13157894736842105,1.0,0.25,0.25,0.2,0.8375595937262489,0.0
966,0.0,1.0,1.0,0.5,0.05263157894736842,0.5,0.25,0.25,0.2,0.9720168589787881,1.0
967,0.0,1.0,1.0,0.5,0.05263157894736842,0.5,0.25,0.25,0.2,0.9720168589787881,1.0
968,0.0,1.0,1.0,0.5,0.05263157894736842,0.5,0.25,0.25,0.2,0.9720168589787881,1.0
977,0.0,0.0,1.0,0.5,0.06315789473684211,0.0,0.25,0.25,0.2,0.9700822220686796,1.0
978,0.0,0.0,1.0,0.5,0.06315789473684211,0.0,0.25,0.25,0.2,0.9700822220686796,1.0
979,0.0,0.0,1.0,0.5,0.06315789473684211,0.0,0.25,0.25,0.2,0.9700822220686796,1.0
980,0.0,0.0,1.0,0.5,0.06315789473684211,0.0,0.25,0.25,0.2,0.9700822220686796,1.0
981,0.0,0.0,1.0,0.5,0.06315789473684211,0.0,0.25,0.25,0.2,0.9700822220686796,1.0
982,0.0,0.0,1.0,0.5,0.06315789473684211,0.0,0.25,0.25,0.2,0.9700822220686796,1.0
997,0.0,0.0,1.0,0.5,0.13157894736842105,1.0,1.0,0.25,0.2,0.8375595937262489,1.0
998,0.0,0.0,1.0,0.5,0.13157894736842105,1.0,1.0,0.25,0.2,0.8375595937262489,1.0
999,0.0,0.0,1.0,0.5,0.13157894736842105,1.0,1.0,0.25,0.2,0.8375595937262489,1.0
1000,0.0,0.0,1.0,0.5,0.13157894736842105,1.0,1.0,0.25,0.2,0.8375595937262489,1.0
1001,0.0,0.0,1.0,0.5,0.13157894736842105,1.0,1.0,0.25,0.2,0.8375595937262489,1.0
1002,0.0,0.0,1.0,0.5,0.13157894736842105,1.0,1.0,0.25,0.2,0.8375595937262489,1.0
1003,0.0,0.0,1.0,0.5,0.13157894736842105,1.0,1.0,0.25,0.2,0.8375595937262489,1.0
1004,0.0,0.0,1.0,0.5,0.13157894736842105,1.0,1.0,0.25,0.2,0.8375595937262489,1.0
1008,0.0,1.0,0.0,0.5,0.06315789473684211,0.25,1.0,0.25,0.2,1.0,1.0
1009,0.0,1.0,1.0,0.5,0.05263157894736842,0.5,1.0,0.25,0.2,0.6924618254681131,1.0
1010,0.0,1.0,1.0,0.5,0.05263157894736842,0.5,1.0,0.25,0.2,0.6924618254681131,1.0
1011,0.0,1.0,1.0,0.5,0.05263157894736842,0.5,1.0,0.25,0.2,0.6924618254681131,1.0
1012,0.0,1.0,1.0,0.5,0.05263157894736842,0.5,1.0,0.25,0.2,0.6924618254681131,1.0
1017,0.0,1.0,1.0,0.0,0.10526315789473684,1.0,1.0,0.25,0.2,0.7764803427071097,0.0
1018,0.0,1.0,1.0,0.0,0.10526315789473684,1.0,1.0,0.25,0.2,0.7764803427071097,0.0
1019,0.0,1.0,1.0,0.0,0.10526315789473684,1.0,1.0,0.25,0.2,0.7764803427071097,0.0
1020,0.0,1.0,1.0,0.0,0.10526315789473684,1.0,1.0,0.25,0.2,0.7764803427071097,0.0
1041,1.0,1.0,0.0,0.5,0.13157894736842105,1.0,1.0,0.25,0.6,0.8354176742900573,1.0
1042,1.0,1.0,0.0,0.5,0.13157894736842105,1.0,1.0,0.25,0.6,0.8354176742900573,1.0
1044,1.0,1.0,1.0,0.0,0.3684210526315789,0.0,1.0,0.25,0.2,0.9573688938022524,0.0
1045,1.0,1.0,1.0,0.0,0.3684210526315789,0.0,1.0,0.25,0.2,0.9573688938022524,0.0
1046,1.0,1.0,1.0,0.0,0.3684210526315789,0.0,1.0,0.25,0.2,0.9573688938022524,0.0
1047,1.0,1.0,1.0,0.0,0.3684210526315789,0.0,1.0,0.25,0.2,0.9573688938022524,0.0
1048,1.0,1.0,1.0,0.0,0.3684210526315789,0.0,1.0,0.25,0.2,0.9573688938022524,0.0
1049,0.0,1.0,0.0,0.0,0.13157894736842105,1.0,1.0,0.25,0.2,0.8059144614109031,0.0
1050,0.0,1.0,0.0,0.0,0.13157894736842105,1.0,1.0,0.25,0.2,0.8059144614109031,0.0
1051,0.0,0.0,1.0,0.5,0.13157894736842105,0.5,1.0,0.25,0.2,0.8585642230359981,1.0
1052,0.0,0.0,1.0,0.5,0.13157894736842105,0.5,1.0,0.25,0.2,0.8585642230359981,1.0
1053,0.0,0.0,1.0,0.5,0.13157894736842105,0.5,1.0,0.25,0.2,0.8585642230359981,1.0
1054,0.0,0.0,1.0,0.5,0.13157894736842105,0.5,1.0,0.25,0.2,0.8585642230359981,1.0
1058,0.0,0.0,1.0,0.0,0.07894736842105263,0.5,0.5,0.0,0.2,0.7533337939611691,0.0
1059,0.0,0.0,1.0,0.0,0.07894736842105263,0.5,0.5,0.0,0.2,0.7533337939611691,0.0
1060,0.0,0.0,1.0,0.0,0.07894736842105263,0.5,0.5,0.0,0.2,0.7533337939611691,0.0
1061,0.0,0.0,1.0,0.0,0.07894736842105263,0.5,0.5,0.0,0.2,0.7533337939611691,0.0
1062,0.0,0.0,1.0,0.0,0.07894736842105263,0.5,0.5,0.0,0.2,0.7533337939611691,0.0
1122,1.0,1.0,0.0,0.5,0.13157894736842105,1.0,1.0,0.25,0.4,0.9215781109652457,1.0
1123,1.0,1.0,0.0,0.5,0.13157894736842105,1.0,1.0,0.25,0.4,0.9215781109652457,1.0
1124,1.0,1.0,0.0,0.5,0.13157894736842105,1.0,1.0,0.25,0.4,0.9215781109652457,1.0
1139,0.0,1.0,1.0,0.5,0.30526315789473685,0.5,0.25,0.25,0.2,0.7260415946935673,1.0
1140,0.0,1.0,1.0,0.5,0.30526315789473685,0.5,0.25,0.25,0.2,0.7260415946935673,1.0
1141,0.0,1.0,1.0,0.5,0.30526315789473685,0.5,0.25,0.25,0.2,0.7260415946935673,1.0
1155,0.0,0.0,1.0,0.0,0.02631578947368421,0.5,1.0,0.25,0.4,0.8691356318662337,0.0
1162,0.0,1.0,1.0,0.0,0.18421052631578946,1.0,1.0,0.25,0.2,0.6293097491881434,0.0
